crime_id,crime_type,district,police_station,crime_date,crime_time,latitude,longitude,suspect_id,victim_id,weapon_used,modus_operandi,severity,status
CR00001,Assault,Hubballi-Dharwad,Bharat,2023-03-21,19:10,15.345742,75.155308,S4090,V6718,None,Pickpocketing,4,Cold Case
CR00002,Robbery,Belagavi,Sammathal,2022-10-27,08:00,15.848376,74.527425,S3303,V5464,Poison,Cyber intrusion,4,Arrested
CR00003,Robbery,Belagavi,Sammathal,2022-10-07,10:07,15.871272,74.485884,S2079,V7716,Knife,Strangulation,1,Arrested
CR00004,Drug Offence,Kalaburagi,College Road,2024-01-21,09:43,17.351983,76.828446,S4467,V7133,Firearm,Strangulation,2,Closed
CR00005,Domestic Violence,Vijayapura,Nehru Road,2022-01-27,01:29,16.81087,75.699577,S3925,V5550,Knife,Domestic quarrel,1,Cold Case
CR00006,Murder,Hubballi-Dharwad,Bharat,2022-09-17,16:53,15.372192,75.107171,S3353,V8758,Knife,Scam call,3,Closed
CR00007,Cyber Fraud,Ballari,Sampangi,2023-09-11,03:42,15.116098,76.945035,S2722,V7492,None,Strangulation,1,Arrested
CR00008,Cyber Fraud,Mysuru,VV Mohalla,2024-01-09,06:29,12.31816,76.678108,S2041,V8596,Knife,Hit and run,3,Closed
CR00009,Burglary,Vijayapura,Nehru Road,2024-04-16,19:36,16.827311,75.674366,S3216,V7907,Mobile,Strangulation,2,Closed
CR00010,Theft,Bengaluru Urban,Central,2023-10-31,13:21,12.973884,77.556137,S2229,V8809,Crowbar,Pickpocketing,5,Arrested
CR00011,Drug Offence,Hubballi-Dharwad,Bharat,2024-05-14,17:03,15.367285,75.117718,S2525,V7534,Bat,Domestic quarrel,1,Closed
CR00012,Theft,Hubballi-Dharwad,Bharat,2024-08-23,07:57,15.391543,75.156676,S4417,V8072,None,Home invasion,3,Investigation
CR00013,Drug Offence,Kalaburagi,Shahnoor,2024-04-22,23:58,17.305987,76.804065,S1294,V8986,Mobile,Forced entry,3,Cold Case
CR00014,Assault,Mysuru,VV Mohalla,2024-10-05,20:40,12.309471,76.637984,S1177,V8490,Knife,Home invasion,4,Cold Case
CR00015,Cyber Fraud,Bengaluru Urban,Jayanagar,2024-04-05,14:09,12.939555,77.626949,S1198,V8072,Knife,Scam call,5,Closed
CR00016,Drug Offence,Mysuru,Chamraj,2022-05-19,08:45,12.296116,76.604098,S1483,V5299,Rope,Domestic quarrel,1,Investigation
CR00017,Domestic Violence,Bengaluru Urban,Majestic,2022-03-16,12:53,12.955725,77.553241,S2778,V6575,Mobile,Hit and run,5,Arrested
CR00018,Theft,Shivamogga,Nagara,2024-05-05,09:46,13.895089,75.551547,S1666,V5210,Bat,Forced entry,3,Arrested
CR00019,Theft,Shivamogga,Nagara,2023-02-22,01:50,13.933638,75.558318,S2455,V8352,Crowbar,Pickpocketing,3,Investigation
CR00020,Cyber Fraud,Mangaluru,Pandeshwar,2024-05-21,17:57,12.889672,74.848135,S1373,V5643,Mobile,Strangulation,3,Investigation
CR00021,Drug Offence,Hubballi-Dharwad,Gabburda,2023-04-12,22:52,15.380052,75.118864,S4295,V7079,Stolen Vehicle,Scam call,1,Investigation
CR00022,Theft,Belagavi,Sammathal,2024-12-15,02:51,15.86291,74.470529,S4808,V8526,Firearm,Kidnap and ransom,1,Arrested
CR00023,Kidnapping,Vijayapura,Station,2024-03-09,20:03,16.797442,75.735578,S4797,V7437,Poison,Hit and run,1,Open
CR00024,Theft,Belagavi,Nipani,2024-06-12,08:12,15.865317,74.509234,S4984,V6306,Poison,Hit and run,1,Investigation
CR00025,Murder,Mangaluru,Pandeshwar,2022-12-02,16:15,12.876096,74.844784,S4350,V8310,None,Home invasion,2,Investigation
CR00026,Murder,Vijayapura,Old City,2023-10-19,22:26,16.851312,75.669424,S4651,V6029,Mobile,Domestic quarrel,2,Investigation
CR00027,Robbery,Belagavi,Shahu Nagar,2024-02-25,01:10,15.875924,74.488917,S4478,V8251,Mobile,Kidnap and ransom,4,Cold Case
CR00028,Drug Offence,Bengaluru Urban,Koramangala,2022-02-13,16:54,12.947784,77.599502,S3480,V5519,Knife,Kidnap and ransom,3,Cold Case
CR00029,Murder,Mysuru,Gokulam,2023-03-03,11:37,12.299494,76.646002,S4736,V8809,Unknown,Forced entry,5,Cold Case
CR00030,Kidnapping,Belagavi,Sammathal,2022-11-24,03:38,15.824486,74.475096,S1017,V6606,Crowbar,Home invasion,1,Cold Case
CR00031,Cyber Fraud,Bengaluru Urban,Jayanagar,2024-10-18,01:23,12.988243,77.555049,S1651,V7371,Firearm,Forced entry,4,Closed
CR00032,Robbery,Shivamogga,Nagara,2024-01-28,04:16,13.958252,75.531909,S3884,V8316,Rope,Hit and run,5,Arrested
CR00033,Burglary,Belagavi,Shahu Nagar,2022-12-21,06:37,15.827429,74.478174,S2854,V8702,Unknown,Hit and run,4,Cold Case
CR00034,Vehicle Theft,Hubballi-Dharwad,Bharat,2023-11-04,06:11,15.372663,75.106171,S3029,V7812,Bat,Scam call,3,Closed
CR00035,Drug Offence,Bengaluru Urban,Koramangala,2023-11-15,01:19,12.979139,77.612719,S3920,V6588,Unknown,Hit and run,2,Closed
CR00036,Assault,Bengaluru Urban,Majestic,2023-01-16,19:18,13.000327,77.576377,S2491,V5069,Stolen Vehicle,Strangulation,3,Arrested
CR00037,Assault,Belagavi,Shahu Nagar,2024-05-20,08:52,15.867758,74.509816,S1006,V5315,Crowbar,Bribery,2,Open
CR00038,Burglary,Kalaburagi,Shahnoor,2023-10-19,12:23,17.301595,76.854354,S4059,V5742,Unknown,Scam call,2,Arrested
CR00039,Murder,Tumakuru,Chitradurga Road,2023-05-28,20:30,13.378075,77.106126,S3549,V8764,Stolen Vehicle,Home invasion,3,Arrested
CR00040,Vehicle Theft,Ballari,Sampangi,2022-08-12,08:08,15.118737,76.90526,S4678,V8471,Firearm,Forced entry,3,Open
CR00041,Murder,Belagavi,Sammathal,2022-01-15,22:00,15.860297,74.489807,S1170,V5667,Mobile,Cyber intrusion,5,Cold Case
CR00042,Robbery,Ballari,Sampangi,2022-01-05,11:33,15.152817,76.937853,S1083,V7155,Bat,Scam call,3,Open
CR00043,Kidnapping,Tumakuru,Vidyaranyapuram,2024-03-22,13:49,13.314294,77.075832,S1315,V7708,Firearm,Pickpocketing,2,Cold Case
CR00044,Kidnapping,Shivamogga,Salem,2023-09-03,15:03,13.925808,75.584022,S3255,V5130,Crowbar,Forced entry,3,Investigation
CR00045,Robbery,Mysuru,Gokulam,2022-04-24,23:27,12.292449,76.611135,S3879,V7679,Bat,Scam call,4,Open
CR00046,Vehicle Theft,Bengaluru Urban,Majestic,2023-08-02,16:11,12.952552,77.625536,S2033,V7815,Mobile,Hit and run,3,Closed
CR00047,Domestic Violence,Ballari,Karnataka,2024-09-21,03:59,15.159021,76.894999,S4674,V6002,Rope,Scam call,2,Open
CR00048,Theft,Ballari,Shantinagar,2022-02-03,02:58,15.142049,76.906749,S3594,V7296,None,Scam call,3,Open
CR00049,Burglary,Hubballi-Dharwad,Bharat,2024-08-01,14:42,15.326347,75.134702,S3063,V8756,Knife,Forced entry,4,Arrested
CR00050,Kidnapping,Ballari,Karnataka,2023-09-14,00:21,15.101616,76.939813,S3767,V5319,Stolen Vehicle,Pickpocketing,1,Closed
CR00051,Drug Offence,Shivamogga,Salem,2024-11-02,12:51,13.943794,75.608004,S3014,V7308,Stolen Vehicle,Pickpocketing,2,Open
CR00052,Robbery,Kalaburagi,College Road,2024-07-30,20:01,17.330347,76.825668,S1901,V6224,Firearm,Scam call,3,Closed
CR00053,Kidnapping,Belagavi,Shahu Nagar,2024-07-24,05:37,15.856163,74.502598,S2291,V5639,Bat,Forced entry,2,Cold Case
CR00054,Assault,Mysuru,Chamraj,2022-11-09,05:46,12.330668,76.672263,S4949,V5523,Knife,Kidnap and ransom,5,Investigation
CR00055,Robbery,Hubballi-Dharwad,Gokul Road,2022-01-08,06:53,15.369607,75.099289,S3059,V7625,Crowbar,Scam call,5,Investigation
CR00056,Murder,Mysuru,VV Mohalla,2022-11-16,00:31,12.316674,76.675085,S2127,V8350,Mobile,Cyber intrusion,2,Cold Case
CR00057,Robbery,Hubballi-Dharwad,Gokul Road,2022-10-21,07:46,15.366879,75.159226,S3836,V6623,Stolen Vehicle,Pickpocketing,3,Arrested
CR00058,Robbery,Kalaburagi,Station Road,2022-03-16,09:26,17.329717,76.810641,S1265,V8052,Crowbar,Strangulation,2,Cold Case
CR00059,Kidnapping,Belagavi,Sammathal,2024-03-12,23:49,15.847176,74.508596,S1484,V6940,Firearm,Kidnap and ransom,4,Investigation
CR00060,Drug Offence,Mysuru,Chamraj,2022-01-19,07:55,12.326305,76.655892,S4858,V5588,Unknown,Bribery,5,Open
CR00061,Kidnapping,Vijayapura,Station,2023-09-21,18:05,16.81524,75.729146,S4147,V8382,Stolen Vehicle,Hit and run,3,Closed
CR00062,Robbery,Ballari,Karnataka,2023-01-20,07:22,15.14359,76.957089,S2363,V5051,Rope,Hit and run,3,Open
CR00063,Robbery,Tumakuru,Temple Road,2023-06-16,23:03,13.368986,77.121026,S2580,V6023,Rope,Home invasion,4,Arrested
CR00064,Domestic Violence,Shivamogga,Nagara,2024-08-09,21:53,13.943557,75.607036,S2155,V7122,Crowbar,Home invasion,5,Open
CR00065,Murder,Kalaburagi,College Road,2022-04-19,00:16,17.371505,76.831181,S3385,V7221,None,Kidnap and ransom,1,Cold Case
CR00066,Domestic Violence,Tumakuru,Chitradurga Road,2024-06-20,15:16,13.356749,77.141887,S3826,V6386,Unknown,Forced entry,4,Open
CR00067,Drug Offence,Shivamogga,Salem,2022-03-28,21:03,13.943784,75.537547,S2433,V8963,Bat,Kidnap and ransom,5,Investigation
CR00068,Domestic Violence,Kalaburagi,Shahnoor,2024-11-19,20:29,17.373419,76.857428,S1767,V5940,Firearm,Cyber intrusion,4,Investigation
CR00069,Kidnapping,Kalaburagi,Shahnoor,2023-04-11,09:41,17.318047,76.793663,S2795,V5483,None,Home invasion,2,Cold Case
CR00070,Murder,Kalaburagi,Shahnoor,2023-10-14,07:59,17.367173,76.844208,S4313,V8437,Poison,Strangulation,1,Investigation
CR00071,Vehicle Theft,Belagavi,Sammathal,2024-01-11,05:06,15.849863,74.536643,S4383,V7822,Poison,Bribery,5,Open
CR00072,Kidnapping,Vijayapura,Station,2023-09-29,02:45,16.820858,75.668697,S4308,V6562,Firearm,Strangulation,2,Investigation
CR00073,Kidnapping,Hubballi-Dharwad,Bharat,2022-08-15,19:52,15.32224,75.138931,S2569,V8139,Bat,Kidnap and ransom,3,Cold Case
CR00074,Theft,Bengaluru Urban,Koramangala,2023-03-06,07:16,13.004232,77.553033,S4819,V5079,Crowbar,Pickpocketing,5,Arrested
CR00075,Domestic Violence,Shivamogga,Pinjrapole,2022-03-04,04:45,13.889839,75.535915,S1232,V7561,Mobile,Kidnap and ransom,2,Open
CR00076,Cyber Fraud,Hubballi-Dharwad,Gokul Road,2023-09-09,00:24,15.381238,75.106922,S4096,V7412,Knife,Kidnap and ransom,3,Closed
CR00077,Theft,Kalaburagi,Shahnoor,2023-09-03,20:37,17.319718,76.804505,S3916,V7858,Mobile,Bribery,4,Investigation
CR00078,Robbery,Mangaluru,Pandeshwar,2023-09-10,08:53,12.919059,74.874754,S4935,V5308,Firearm,Kidnap and ransom,5,Arrested
CR00079,Robbery,Shivamogga,Salem,2024-12-10,23:03,13.924668,75.597322,S3187,V7221,Mobile,Cyber intrusion,1,Investigation
CR00080,Assault,Vijayapura,Nehru Road,2023-07-31,07:43,16.831442,75.691941,S3154,V5438,Knife,Cyber intrusion,4,Arrested
CR00081,Kidnapping,Vijayapura,Nehru Road,2023-04-17,21:14,16.812261,75.706603,S3958,V8359,Poison,Domestic quarrel,5,Arrested
CR00082,Kidnapping,Ballari,Karnataka,2022-02-04,19:01,15.125372,76.920585,S4070,V6978,Bat,Scam call,3,Cold Case
CR00083,Cyber Fraud,Tumakuru,Chitradurga Road,2023-10-03,16:42,13.357036,77.126749,S4857,V7616,Firearm,Pickpocketing,3,Open
CR00084,Kidnapping,Kalaburagi,Shahnoor,2024-06-19,15:49,17.342742,76.821465,S3881,V5794,Firearm,Domestic quarrel,4,Arrested
CR00085,Robbery,Belagavi,Nipani,2024-12-23,19:54,15.8096,74.535087,S4107,V7264,Rope,Scam call,5,Investigation
CR00086,Domestic Violence,Tumakuru,Temple Road,2024-09-17,08:16,13.386416,77.1159,S4673,V6575,Crowbar,Bribery,3,Investigation
CR00087,Drug Offence,Ballari,Shantinagar,2022-08-11,11:21,15.123281,76.915223,S3879,V6801,Poison,Scam call,2,Arrested
CR00088,Cyber Fraud,Vijayapura,Station,2023-12-14,03:10,16.807578,75.715231,S3863,V8424,None,Kidnap and ransom,5,Investigation
CR00089,Theft,Mangaluru,Kankanady,2023-01-17,16:12,12.934077,74.893468,S1617,V5655,Mobile,Bribery,3,Open
CR00090,Cyber Fraud,Ballari,Sampangi,2024-03-13,04:43,15.127021,76.936551,S4811,V6202,Knife,Bribery,1,Investigation
CR00091,Cyber Fraud,Shivamogga,Nagara,2023-09-05,01:09,13.898554,75.554189,S3075,V8202,Bat,Domestic quarrel,2,Open
CR00092,Burglary,Shivamogga,Pinjrapole,2022-11-26,17:54,13.887997,75.597046,S2604,V8284,Mobile,Domestic quarrel,1,Cold Case
CR00093,Theft,Ballari,Sampangi,2024-06-02,04:00,15.173593,76.92821,S1850,V5769,Unknown,Strangulation,2,Arrested
CR00094,Kidnapping,Hubballi-Dharwad,Gabburda,2022-05-26,10:54,15.408684,75.164421,S3199,V5012,Crowbar,Pickpocketing,4,Arrested
CR00095,Theft,Shivamogga,Nagara,2022-10-03,06:15,13.893909,75.603423,S1015,V5381,Mobile,Hit and run,1,Closed
CR00096,Drug Offence,Hubballi-Dharwad,Bharat,2022-02-17,14:11,15.396962,75.090635,S1691,V5445,Rope,Hit and run,5,Cold Case
CR00097,Robbery,Belagavi,Shahu Nagar,2022-07-10,13:00,15.867702,74.515138,S1657,V6570,Stolen Vehicle,Bribery,3,Investigation
CR00098,Burglary,Shivamogga,Salem,2024-09-11,15:05,13.904461,75.586185,S3859,V6295,Bat,Strangulation,4,Arrested
CR00099,Kidnapping,Mysuru,Chamraj,2023-06-16,14:03,12.287338,76.683765,S1994,V8912,Bat,Strangulation,5,Cold Case
CR00100,Theft,Ballari,Shantinagar,2024-01-09,02:38,15.136764,76.920351,S3966,V7510,None,Domestic quarrel,2,Arrested
CR00101,Kidnapping,Vijayapura,Nehru Road,2022-02-23,04:18,16.837734,75.743444,S2724,V7429,Knife,Forced entry,3,Open
CR00102,Theft,Tumakuru,Chitradurga Road,2023-04-18,00:00,13.317812,77.145789,S1506,V8378,Firearm,Strangulation,4,Closed
CR00103,Drug Offence,Bengaluru Urban,Jayanagar,2024-02-10,17:17,12.996705,77.593189,S4104,V6407,Stolen Vehicle,Cyber intrusion,1,Investigation
CR00104,Vehicle Theft,Hubballi-Dharwad,Gabburda,2024-05-21,19:42,15.354265,75.139464,S2954,V8761,Rope,Hit and run,5,Arrested
CR00105,Vehicle Theft,Mangaluru,Pandeshwar,2022-03-28,18:56,12.902515,74.816582,S3952,V7645,Knife,Strangulation,5,Investigation
CR00106,Drug Offence,Vijayapura,Nehru Road,2022-04-08,06:57,16.792362,75.706099,S2359,V7913,Stolen Vehicle,Scam call,3,Investigation
CR00107,Drug Offence,Mangaluru,Boloor,2023-02-22,00:33,12.903814,74.81161,S1552,V8946,Crowbar,Strangulation,5,Closed
CR00108,Vehicle Theft,Hubballi-Dharwad,Bharat,2022-07-29,06:37,15.351912,75.084014,S1611,V5964,Knife,Scam call,5,Investigation
CR00109,Murder,Ballari,Sampangi,2023-09-16,21:18,15.150714,76.884247,S1505,V8833,Unknown,Hit and run,3,Cold Case
CR00110,Theft,Tumakuru,Temple Road,2022-12-20,02:21,13.351734,77.119898,S3037,V5865,None,Cyber intrusion,1,Cold Case
CR00111,Vehicle Theft,Mysuru,Chamraj,2023-07-30,18:35,12.259488,76.680641,S1719,V7755,Stolen Vehicle,Forced entry,1,Investigation
CR00112,Assault,Ballari,Sampangi,2022-04-08,02:54,15.122178,76.879416,S1142,V6179,Rope,Kidnap and ransom,2,Cold Case
CR00113,Vehicle Theft,Bengaluru Urban,Koramangala,2023-07-06,20:40,13.003999,77.601253,S3126,V5752,Unknown,Domestic quarrel,2,Open
CR00114,Robbery,Vijayapura,Old City,2023-11-04,03:31,16.808037,75.669588,S1702,V5737,Bat,Pickpocketing,2,Arrested
CR00115,Burglary,Mangaluru,Pandeshwar,2023-03-26,14:52,12.894681,74.857402,S2459,V5355,Rope,Strangulation,4,Cold Case
CR00116,Robbery,Mangaluru,Kankanady,2023-11-06,20:56,12.8817,74.884998,S2760,V7906,Mobile,Scam call,3,Open
CR00117,Cyber Fraud,Vijayapura,Station,2022-02-15,06:45,16.863838,75.741552,S1928,V5557,Crowbar,Bribery,1,Closed
CR00118,Burglary,Mangaluru,Boloor,2024-11-23,08:47,12.936307,74.866586,S4065,V5781,Mobile,Scam call,5,Investigation
CR00119,Murder,Vijayapura,Nehru Road,2023-04-22,14:29,16.792361,75.725695,S1135,V7110,None,Pickpocketing,1,Closed
CR00120,Drug Offence,Mangaluru,Kankanady,2024-08-26,14:57,12.920586,74.827539,S2866,V6246,Bat,Domestic quarrel,4,Open
CR00121,Drug Offence,Belagavi,Nipani,2023-07-06,20:46,15.892569,74.476756,S3097,V5135,Rope,Forced entry,2,Investigation
CR00122,Burglary,Bengaluru Urban,Majestic,2023-08-05,03:35,12.927745,77.555994,S1786,V7028,Poison,Cyber intrusion,4,Investigation
CR00123,Domestic Violence,Bengaluru Urban,Majestic,2022-01-25,13:52,12.96793,77.603195,S2024,V8421,Bat,Home invasion,1,Investigation
CR00124,Drug Offence,Bengaluru Urban,Majestic,2022-12-18,10:16,12.980923,77.62874,S2114,V7991,Bat,Pickpocketing,3,Closed
CR00125,Vehicle Theft,Belagavi,Nipani,2024-07-08,13:47,15.836528,74.513619,S1126,V5475,Stolen Vehicle,Home invasion,4,Cold Case
CR00126,Theft,Hubballi-Dharwad,Gabburda,2022-08-29,13:18,15.327008,75.113254,S4206,V8074,Firearm,Forced entry,3,Investigation
CR00127,Burglary,Mangaluru,Kankanady,2024-07-15,13:42,12.876199,74.838689,S2471,V8560,Stolen Vehicle,Home invasion,5,Cold Case
CR00128,Theft,Ballari,Sampangi,2024-04-26,17:41,15.135713,76.96555,S2826,V5565,Mobile,Domestic quarrel,5,Investigation
CR00129,Vehicle Theft,Hubballi-Dharwad,Gabburda,2023-11-01,03:08,15.365266,75.141014,S1591,V7870,Unknown,Strangulation,1,Arrested
CR00130,Robbery,Ballari,Shantinagar,2024-12-18,04:08,15.153509,76.881123,S3193,V5963,Knife,Strangulation,5,Open
CR00131,Robbery,Ballari,Sampangi,2023-11-05,14:58,15.126593,76.921422,S2127,V5320,None,Kidnap and ransom,2,Closed
CR00132,Domestic Violence,Hubballi-Dharwad,Gabburda,2022-11-20,00:35,15.342895,75.107794,S2414,V5524,None,Domestic quarrel,2,Cold Case
CR00133,Theft,Hubballi-Dharwad,Gabburda,2023-12-30,11:07,15.326747,75.109362,S1177,V7670,Firearm,Forced entry,5,Open
CR00134,Robbery,Kalaburagi,Shahnoor,2023-07-27,18:19,17.326275,76.870662,S1396,V6881,Knife,Kidnap and ransom,4,Open
CR00135,Burglary,Kalaburagi,Shahnoor,2023-12-02,00:18,17.291742,76.791662,S4875,V7831,Mobile,Strangulation,5,Closed
CR00136,Burglary,Tumakuru,Chitradurga Road,2023-06-19,10:54,13.377247,77.141323,S1212,V7612,Knife,Kidnap and ransom,5,Open
CR00137,Vehicle Theft,Vijayapura,Station,2023-10-14,12:09,16.806145,75.739866,S1777,V7734,Crowbar,Home invasion,5,Arrested
CR00138,Cyber Fraud,Tumakuru,Vidyaranyapuram,2023-08-22,19:06,13.313165,77.141379,S4914,V6921,Mobile,Scam call,2,Cold Case
CR00139,Cyber Fraud,Shivamogga,Salem,2023-08-10,09:28,13.935336,75.540111,S1043,V8867,Firearm,Strangulation,1,Closed
CR00140,Robbery,Mangaluru,Boloor,2024-03-08,10:47,12.927125,74.819263,S3258,V5516,Crowbar,Domestic quarrel,5,Cold Case
CR00141,Assault,Belagavi,Nipani,2022-06-20,19:13,15.830718,74.464497,S4753,V7127,Stolen Vehicle,Pickpocketing,4,Open
CR00142,Drug Offence,Bengaluru Urban,Central,2023-01-02,03:32,13.003618,77.622937,S1178,V6588,Rope,Bribery,5,Cold Case
CR00143,Domestic Violence,Tumakuru,Vidyaranyapuram,2024-01-29,07:12,13.343268,77.119403,S4171,V7186,Stolen Vehicle,Hit and run,3,Open
CR00144,Theft,Vijayapura,Nehru Road,2024-05-26,00:05,16.787841,75.713256,S1546,V8389,Firearm,Pickpocketing,2,Arrested
CR00145,Domestic Violence,Tumakuru,Chitradurga Road,2022-07-18,20:33,13.375454,77.092978,S1050,V8191,Stolen Vehicle,Forced entry,4,Closed
CR00146,Burglary,Shivamogga,Nagara,2023-12-10,06:16,13.95867,75.559083,S3194,V7757,Bat,Domestic quarrel,4,Investigation
CR00147,Domestic Violence,Kalaburagi,Shahnoor,2023-01-29,18:54,17.317799,76.872332,S3182,V8163,Knife,Bribery,5,Cold Case
CR00148,Cyber Fraud,Hubballi-Dharwad,Bharat,2022-12-06,12:17,15.327272,75.132153,S3328,V5870,Firearm,Cyber intrusion,3,Cold Case
